,element,fixture,opponent_team,total_points,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,position,was_home,was_home_True,opponent_difficulty,form
3322,42,211,10,5,2023-02-04T15:00:00Z,2,4,22,90,0,1,0,4,0,0,0,0,0,0,0,16,5.6,35.8,35.0,7.6,1,0.28,0.43,0.71,2.25,57,-3685,58844,7037,10722,Midfielder,1,1,2,7.0
3323,43,211,10,1,2023-02-04T15:00:00Z,2,4,22,31,0,0,0,1,0,0,0,0,0,0,0,8,3.6,5.3,0.0,0.9,0,0.00,0.04,0.04,0.35,46,-4871,376283,3527,8398,Defender,1,1,2,0.5
3324,44,211,10,0,2023-02-04T15:00:00Z,2,4,22,90,0,0,0,4,0,0,0,0,0,0,0,17,12.2,0.7,7.0,2.0,1,0.11,0.01,0.12,2.25,44,3136,41988,6002,2866,Defender,1,1,2,4.5
3325,46,211,10,2,2023-02-04T15:00:00Z,2,4,22,90,0,0,0,4,0,0,0,0,0,0,0,18,16.6,44.2,0.0,6.1,1,0.00,0.14,0.14,2.25,48,-1483,51311,3867,5350,Midfielder,1,1,2,3.5
3326,47,211,10,1,2023-02-04T15:00:00Z,2,4,22,45,0,0,0,3,0,0,0,0,0,0,0,5,2.2,13.5,2.0,1.8,1,0.00,0.01,0.01,1.48,52,-1202,71005,1242,2444,Midfielder,1,1,2,3.0
3328,53,211,10,2,2023-02-04T15:00:00Z,2,4,22,81,0,0,0,4,0,0,0,0,0,0,0,9,7.2,11.9,0.0,1.9,1,0.00,0.07,0.07,2.19,48,-47,10492,224,271,Midfielder,1,1,2,3.5
3329,479,211,10,1,2023-02-04T15:00:00Z,2,4,22,8,0,0,0,0,0,0,0,0,0,0,0,3,0.8,0.7,0.0,0.2,0,0.00,0.00,0.00,0.06,47,-131,7519,103,234,Midfielder,1,1,2,0.5
3330,538,211,10,0,2023-02-04T15:00:00Z,2,4,22,58,0,0,0,3,0,0,0,0,0,0,0,14,16.0,12.1,2.0,3.0,1,0.02,0.01,0.03,1.90,44,279,90361,5986,5707,Defender,1,1,2,4.0
3331,694,211,10,1,2023-02-04T15:00:00Z,2,4,22,45,0,0,0,1,0,0,0,0,0,0,0,-1,0.0,1.9,18.0,1.5,0,0.08,0.03,0.11,0.77,45,4966,18137,7477,2511,Defender,1,1,2,3.5
3332,711,211,10,1,2023-02-04T15:00:00Z,2,4,22,8,0,0,0,0,0,0,0,0,0,0,0,3,1.0,0.3,2.0,0.3,0,0.00,0.02,0.02,0.06,55,601,672,659,58,Forward,1,1,2,0.0
3334,252,211,2,1,2023-02-04T15:00:00Z,2,4,22,23,0,0,0,0,0,0,0,0,0,0,0,3,1.6,0.3,0.0,0.2,0,0.00,0.00,0.00,0.38,43,-755,46298,481,1236,Midfielder,0,0,3,2.0
3335,254,211,2,2,2023-02-04T15:00:00Z,2,4,22,90,0,0,0,2,0,0,0,0,0,3,0,14,16.8,0.0,0.0,1.7,1,0.00,0.00,0.00,1.68,40,-92306,3264673,33342,125648,Goalkeeper,0,0,3,1.5
3336,255,211,2,1,2023-02-04T15:00:00Z,2,4,22,23,0,0,0,0,0,0,0,0,0,0,0,1,2.4,10.1,0.0,1.3,0,0.00,0.00,0.00,0.38,91,-11845,223124,2654,14499,Forward,0,0,3,2.0
3338,258,211,2,0,2023-02-04T15:00:00Z,2,4,22,90,0,0,0,2,0,0,0,1,0,0,0,12,26.0,0.9,0.0,2.7,1,0.00,0.00,0.00,1.68,45,-92841,854189,27754,120595,Defender,0,0,3,1.0
3339,259,211,2,1,2023-02-04T15:00:00Z,2,4,22,90,0,0,0,2,0,0,0,1,0,0,0,21,23.4,14.6,0.0,3.8,1,0.00,0.02,0.02,1.68,62,-3261,154070,3593,6854,Midfielder,0,0,3,3.0
3340,261,211,2,7,2023-02-04T15:00:00Z,2,4,22,66,1,0,0,2,0,0,0,0,0,0,0,27,36.6,25.3,20.0,8.2,1,0.37,0.02,0.39,1.30,80,7738,379991,22608,14870,Midfielder,0,0,3,0.5
3341,262,211,2,15,2023-02-04T15:00:00Z,2,4,22,66,1,2,0,2,0,0,0,0,0,0,3,45,67.0,21.2,41.0,12.9,1,0.79,0.35,1.14,1.30,61,-849,46170,1041,1890,Forward,0,0,3,0.5
3342,264,211,2,8,2023-02-04T15:00:00Z,2,4,22,90,0,2,0,2,0,0,0,0,0,0,0,28,25.4,25.6,17.0,6.8,1,0.06,0.27,0.33,1.68,67,-3008,153789,10256,13264,Midfielder,0,0,3,4.5
3344,266,211,2,2,2023-02-04T15:00:00Z,2,4,22,66,0,0,0,2,0,0,0,0,0,0,0,16,15.8,1.6,2.0,1.9,1,0.00,0.02,0.02,1.30,49,-3002,67497,878,3880,Midfielder,0,0,3,1.0
3345,267,211,2,0,2023-02-04T15:00:00Z,2,4,22,7,0,0,0,0,0,0,0,1,0,0,0,-1,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.23,42,-354,24985,167,521,Defender,0,0,3,0.0
3347,270,211,2,1,2023-02-04T15:00:00Z,2,4,22,9,0,0,0,0,0,0,0,0,0,0,0,4,3.0,0.0,0.0,0.3,0,0.00,0.00,0.00,0.23,42,-617,16535,879,1496,Defender,0,0,3,3.0
3351,549,211,2,6,2023-02-04T15:00:00Z,2,4,22,23,1,0,0,0,0,0,0,0,0,0,0,21,40.4,0.6,17.0,5.8,0,0.26,0.00,0.26,0.38,48,-34,2160,27,61,Midfielder,0,0,3,1.0
3352,612,211,2,1,2023-02-04T15:00:00Z,2,4,22,90,0,0,0,2,0,0,0,0,0,0,0,21,31.8,0.0,0.0,3.2,1,0.00,0.00,0.00,1.68,43,-2499,23188,908,3407,Defender,0,0,3,1.0
3353,709,211,2,1,2023-02-04T15:00:00Z,2,4,22,80,0,0,0,2,0,0,0,0,0,0,0,18,22.4,3.8,0.0,2.6,1,0.00,0.00,0.00,1.45,45,454,628,509,55,Defender,0,0,3,0.0
3354,715,211,2,8,2023-02-04T15:00:00Z,2,4,22,82,1,0,0,2,0,0,0,0,0,0,1,29,37.6,1.4,30.0,6.9,1,0.77,0.00,0.77,1.45,55,635,715,673,38,Midfielder,0,0,3,0.0
3355,727,211,2,-1,2023-02-04T15:00:00Z,2,4,22,90,0,0,0,2,1,0,0,0,0,0,0,10,15.2,0.1,2.0,1.7,1,0.00,0.00,0.00,1.68,45,1093,1148,1141,48,Defender,0,0,3,0.0
3356,29,228,13,1,2023-02-12T16:30:00Z,3,1,23,14,0,0,0,0,0,0,0,0,0,0,0,8,8.6,7.1,11.0,2.7,0,0.02,0.02,0.04,0.42,66,-1341,342928,750,2091,Midfielder,0,0,2,1.0
3357,31,228,13,2,2023-02-12T16:30:00Z,3,1,23,90,0,0,0,3,0,0,0,0,0,5,0,21,36.4,0.0,0.0,3.6,1,0.00,0.00,0.00,3.59,49,-16955,471023,5135,22090,Goalkeeper,0,0,2,3.6666666666666665
3358,32,228,13,1,2023-02-12T16:30:00Z,3,1,23,90,0,0,0,3,0,0,0,0,0,0,0,10,8.8,0.3,0.0,0.9,1,0.00,0.00,0.00,3.59,42,-141,17772,65,206,Defender,0,0,2,0.0
3359,33,228,13,-1,2023-02-12T16:30:00Z,3,1,23,59,0,0,0,3,0,0,0,1,0,0,0,-1,0.0,1.0,0.0,0.1,1,0.00,0.01,0.01,2.94,46,-4835,155901,940,5775,Defender,0,0,2,0.3333333333333333
3362,37,228,13,1,2023-02-12T16:30:00Z,3,1,23,30,0,0,0,0,0,0,0,0,0,0,0,3,2.2,0.8,2.0,0.5,0,0.00,0.01,0.01,0.65,51,-344,53802,105,449,Midfielder,0,0,2,0.0
3364,40,228,13,7,2023-02-12T16:30:00Z,3,1,23,90,1,0,0,3,0,0,0,0,0,0,1,31,41.6,33.7,19.0,9.4,1,0.08,0.04,0.12,3.59,71,7687,286114,29610,21923,Forward,0,0,2,6.666666666666667
3365,42,228,13,1,2023-02-12T16:30:00Z,3,1,23,59,0,0,0,3,0,0,0,0,0,0,0,3,1.6,0.9,0.0,0.3,1,0.00,0.01,0.01,2.94,57,-3237,55974,4175,7412,Midfielder,0,0,2,6.333333333333333
3366,43,228,13,1,2023-02-12T16:30:00Z,3,1,23,14,0,0,0,0,0,0,0,0,0,0,0,3,2.6,0.7,0.0,0.3,0,0.00,0.00,0.00,0.42,46,-4124,372502,1133,5257,Defender,0,0,2,0.6666666666666666
3367,44,228,13,0,2023-02-12T16:30:00Z,3,1,23,90,0,0,0,3,0,0,0,1,0,0,0,13,18.0,0.1,0.0,1.8,1,0.00,0.00,0.00,3.59,44,-3599,38298,637,4236,Defender,0,0,2,3.0
3368,46,228,13,5,2023-02-12T16:30:00Z,3,1,23,90,0,1,0,3,0,0,0,0,0,0,0,20,22.8,12.1,0.0,3.5,1,0.00,0.03,0.03,3.59,48,-3258,48120,738,3996,Midfielder,0,0,2,3.0
3369,47,228,13,2,2023-02-12T16:30:00Z,3,1,23,75,0,0,0,3,0,0,0,0,0,0,0,1,1.4,0.4,0.0,0.2,1,0.00,0.01,0.01,3.18,52,-1652,69469,244,1896,Midfielder,0,0,2,2.3333333333333335
3371,53,228,13,2,2023-02-12T16:30:00Z,3,1,23,90,0,0,0,3,0,0,0,0,0,0,0,14,13.6,1.0,4.0,1.9,1,0.00,0.19,0.19,3.59,48,-102,10421,90,192,Midfielder,0,0,2,3.0
3373,538,228,13,1,2023-02-12T16:30:00Z,3,1,23,75,0,0,0,3,0,0,0,0,0,0,0,6,6.2,0.3,0.0,0.7,1,0.00,0.00,0.00,3.18,44,-6261,84132,959,7220,Defender,0,0,2,2.6666666666666665
3374,694,228,13,1,2023-02-12T16:30:00Z,3,1,23,30,0,0,0,0,0,0,0,0,0,0,0,8,7.4,10.9,2.0,2.0,0,0.00,0.00,0.00,0.65,45,-2763,15368,673,3436,Defender,0,0,2,2.6666666666666665
3375,711,228,13,1,2023-02-12T16:30:00Z,3,1,23,30,0,0,0,0,0,0,0,0,0,0,0,1,1.2,0.8,6.0,0.8,0,0.07,0.00,0.07,0.65,55,110,820,298,188,Forward,0,0,2,1.0
3376,299,228,2,2,2023-02-12T16:30:00Z,3,1,23,90,0,0,0,1,0,0,0,0,0,0,0,13,9.4,6.7,0.0,1.6,1,0.00,0.02,0.02,0.28,48,18316,457067,29575,11259,Defender,1,1,5,0.75
3377,300,228,2,7,2023-02-12T16:30:00Z,3,1,23,90,1,0,0,1,0,0,0,0,0,0,0,28,45.0,12.6,64.0,12.2,1,1.50,0.13,1.63,0.28,73,2922,220021,6990,4068,Midfielder,1,1,5,2.25
3378,301,228,2,2,2023-02-12T16:30:00Z,3,1,23,90,0,0,0,1,0,0,0,0,0,0,0,12,9.0,41.9,10.0,6.1,1,0.00,0.20,0.20,0.28,124,132984,4064729,271735,138751,Midfielder,1,1,5,3.0
3380,303,228,2,12,2023-02-12T16:30:00Z,3,1,23,84,1,1,0,1,0,0,0,0,0,0,2,35,52.0,33.2,27.0,11.2,1,1.24,0.12,1.36,0.23,78,528729,1450169,567418,38689,Midfielder,1,1,5,6.5
3381,305,228,2,5,2023-02-12T16:30:00Z,3,1,23,68,0,1,0,1,0,0,0,0,0,0,0,17,4.6,16.9,33.0,5.5,1,0.10,0.26,0.36,0.20,68,54365,213552,61130,6765,Midfielder,1,1,5,3.0
3382,307,228,2,2,2023-02-12T16:30:00Z,3,1,23,90,0,0,0,1,0,0,0,0,0,1,0,11,9.2,0.0,0.0,0.9,1,0.00,0.00,0.00,0.28,54,80793,1612719,106162,25369,Goalkeeper,1,1,5,2.25
3383,308,228,2,1,2023-02-12T16:30:00Z,3,1,23,5,0,0,0,0,0,0,0,0,0,0,0,3,2.0,0.0,0.0,0.2,0,0.00,0.00,0.00,0.05,51,162361,516963,175669,13308,Defender,1,1,5,1.25
3384,309,228,2,2,2023-02-12T16:30:00Z,3,1,23,90,0,0,0,1,0,0,0,0,0,0,0,15,15.4,3.5,2.0,2.1,1,0.00,0.02,0.02,0.28,57,1851,66331,6712,4861,Defender,1,1,5,2.0
3385,311,228,2,2,2023-02-12T16:30:00Z,3,1,23,90,0,0,0,1,0,0,0,0,0,0,0,15,8.4,13.0,5.0,2.6,1,0.03,0.04,0.07,0.28,68,10193,651109,25774,15581,Midfielder,1,1,5,1.5
3386,312,228,2,0,2023-02-12T16:30:00Z,3,1,23,45,0,0,0,0,0,0,0,1,0,0,0,6,4.0,0.3,4.0,0.8,1,0.05,0.01,0.06,0.12,59,15361,655459,24450,9089,Defender,1,1,5,0.25
3387,314,228,2,1,2023-02-12T16:30:00Z,3,1,23,21,0,0,0,0,0,0,0,0,0,0,0,2,0.0,1.1,2.0,0.2,0,0.00,0.00,0.00,0.08,80,-89479,1002211,4047,93526,Midfielder,1,1,5,0.25
3388,315,228,2,10,2023-02-12T16:30:00Z,3,1,23,90,1,0,0,1,0,0,0,0,0,0,3,44,65.2,55.5,57.0,17.8,1,0.27,0.33,0.60,0.28,56,12629,189667,16610,3981,Midfielder,1,1,5,2.75
3390,318,228,2,4,2023-02-12T16:30:00Z,3,1,23,45,0,1,0,0,0,0,0,0,0,0,0,11,13.2,10.4,8.0,3.2,1,0.16,0.01,0.17,0.12,122,9388,9556620,25885,16497,Forward,1,1,5,6.75
3391,319,228,2,1,2023-02-12T16:30:00Z,3,1,23,45,0,0,0,1,0,0,0,0,0,0,0,4,2.6,21.8,19.0,4.3,0,0.25,0.12,0.37,0.16,60,26896,211224,36463,9567,Forward,1,1,5,2.5
3395,610,228,2,1,2023-02-12T16:30:00Z,3,1,23,45,0,0,0,1,0,0,0,0,0,0,0,9,4.6,0.3,0.0,0.5,0,0.00,0.01,0.01,0.16,50,140377,425052,152655,12278,Defender,1,1,5,2.5
3398,31,243,8,9,2023-02-25T15:00:00Z,0,2,25,90,0,0,1,0,0,0,0,1,0,4,3,30,31.0,0.0,0.0,3.1,1,0.00,0.00,0.00,1.71,49,-1251,470854,14760,16011,Goalkeeper,0,0,2,-0.3333333333333333
3400,33,243,8,6,2023-02-25T15:00:00Z,0,2,25,60,0,0,1,0,0,0,0,0,0,0,0,25,11.0,15.3,1.0,2.7,1,0.08,0.12,0.20,1.27,46,-3685,149133,3135,6820,Defender,0,0,2,-0.3333333333333333
3403,37,243,8,12,2023-02-25T15:00:00Z,0,2,25,90,0,2,1,0,0,0,0,0,0,0,3,30,24.2,12.6,9.0,4.6,1,0.02,0.03,0.05,1.71,51,294,54209,692,398,Midfielder,0,0,2,1.0
3404,39,243,8,7,2023-02-25T15:00:00Z,0,2,25,90,0,0,1,0,0,0,0,0,0,0,1,27,19.2,0.8,2.0,2.2,1,0.00,0.05,0.05,1.71,43,1522,407622,18072,16550,Defender,0,0,2,0.0
3405,40,243,8,6,2023-02-25T15:00:00Z,0,2,25,90,1,0,1,0,0,0,0,0,0,0,0,25,48.0,13.6,62.0,12.4,1,1.53,0.03,1.56,1.71,72,321446,762374,353229,31783,Forward,0,0,2,8.666666666666666
3406,42,243,8,6,2023-02-25T15:00:00Z,0,2,25,29,1,0,0,0,0,0,0,0,0,0,0,19,39.2,21.8,21.0,8.2,0,0.23,0.03,0.26,0.44,57,3066,60208,7587,4521,Midfielder,0,0,2,2.6666666666666665
3407,43,243,8,6,2023-02-25T15:00:00Z,0,2,25,90,0,0,1,0,0,0,0,0,0,0,0,26,26.0,5.0,0.0,3.1,1,0.00,0.05,0.05,1.71,46,13008,389994,18530,5522,Defender,0,0,2,1.6666666666666667
3408,44,243,8,7,2023-02-25T15:00:00Z,0,2,25,90,0,0,1,0,0,0,0,0,0,0,1,27,25.2,0.1,2.0,2.7,1,0.00,0.00,0.00,1.71,44,1108,40398,3523,2415,Defender,0,0,2,0.0
3409,46,243,8,3,2023-02-25T15:00:00Z,0,2,25,90,0,0,1,0,0,0,0,0,0,0,0,6,5.4,3.9,1.0,1.0,1,0.03,0.01,0.04,1.71,48,2001,52125,4925,2924,Midfielder,0,0,2,2.6666666666666665
3410,47,243,8,3,2023-02-25T15:00:00Z,0,2,25,90,0,0,1,0,0,0,0,0,0,0,0,6,9.4,3.6,3.0,1.6,1,0.05,0.02,0.07,1.71,52,209,70031,1312,1103,Midfielder,0,0,2,1.3333333333333333
3412,53,243,8,3,2023-02-25T15:00:00Z,0,2,25,90,0,0,1,0,0,0,0,0,0,0,0,17,7.2,17.6,0.0,2.5,1,0.00,0.23,0.23,1.71,48,155,10690,301,146,Midfielder,0,0,2,2.0
3415,694,243,8,1,2023-02-25T15:00:00Z,0,2,25,29,0,0,0,0,0,0,0,0,0,0,0,6,9.8,0.4,2.0,1.2,0,0.00,0.00,0.00,0.44,44,4059,20042,5607,1548,Defender,0,0,2,2.0
3417,110,243,2,2,2023-02-25T15:00:00Z,0,2,25,75,0,0,0,1,0,0,0,0,0,0,0,2,4.2,12.0,44.0,6.0,1,0.57,0.05,0.62,1.64,59,49153,141969,55681,6528,Forward,1,1,2,1.0
3420,182,243,2,2,2023-02-25T15:00:00Z,0,2,25,90,0,0,0,2,0,0,0,0,0,3,0,14,22.4,0.0,0.0,2.2,1,0.00,0.00,0.00,1.94,44,130653,878382,146648,15995,Goalkeeper,1,1,2,4.0
3421,186,243,2,2,2023-02-25T15:00:00Z,0,2,25,69,0,0,0,1,0,0,0,0,0,0,0,13,11.2,41.2,23.0,7.5,1,0.28,0.38,0.66,1.63,54,258765,542138,270935,12170,Midfielder,1,1,2,4.0
3423,189,243,2,1,2023-02-25T15:00:00Z,0,2,25,20,0,0,0,1,0,0,0,0,0,0,0,2,4.0,2.3,16.0,2.2,0,0.11,0.00,0.11,0.31,53,11152,91892,16168,5016,Midfielder,1,1,2,0.3333333333333333
3424,190,243,2,1,2023-02-25T15:00:00Z,0,2,25,8,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.0,0.0,0.0,0,0.00,0.00,0.00,0.05,49,159,5063,262,103,Midfielder,1,1,2,0.6666666666666666
3428,194,243,2,1,2023-02-25T15:00:00Z,0,2,25,90,0,0,0,2,0,0,0,0,0,0,0,15,15.4,35.0,6.0,5.6,1,0.00,0.23,0.23,1.94,43,51710,162661,57216,5506,Defender,1,1,2,4.0
3430,199,243,2,1,2023-02-25T15:00:00Z,0,2,25,90,0,0,0,2,0,0,0,0,0,0,0,11,8.8,3.6,10.0,2.2,1,0.15,0.21,0.36,1.94,44,681922,1341758,693905,11983,Defender,1,1,2,8.0
3431,475,243,2,1,2023-02-25T15:00:00Z,0,2,25,90,0,0,0,2,0,0,0,0,0,0,0,15,12.6,1.8,0.0,1.4,1,0.00,0.03,0.03,1.94,49,102374,602487,118247,15873,Defender,1,1,2,4.0
3433,534,243,2,2,2023-02-25T15:00:00Z,0,2,25,90,0,0,0,2,0,0,0,0,0,0,0,14,24.8,62.7,19.0,10.7,1,0.15,0.38,0.53,1.94,51,46958,91496,49994,3036,Midfielder,1,1,2,3.6666666666666665
3435,577,243,2,1,2023-02-25T15:00:00Z,0,2,25,81,0,0,0,2,0,0,0,1,0,0,0,5,5.0,3.7,23.0,3.2,1,0.16,0.05,0.21,1.89,48,5952,29086,8038,2086,Midfielder,1,1,2,2.3333333333333335
3436,611,243,2,2,2023-02-25T15:00:00Z,0,2,25,90,0,0,0,2,0,0,0,0,0,0,0,4,11.8,2.7,2.0,1.7,1,0.00,0.01,0.01,1.94,49,2798,11206,3431,633,Midfielder,1,1,2,2.6666666666666665
3437,686,243,2,1,2023-02-25T15:00:00Z,0,2,25,14,0,0,0,1,0,0,0,0,0,0,0,2,0.0,0.2,4.0,0.3,0,0.16,0.00,0.16,0.30,45,6955,18732,9046,2091,Forward,1,1,2,1.0
3439,31,252,7,7,2023-03-04T15:00:00Z,1,0,26,90,0,0,1,0,0,0,0,0,0,0,1,25,7.0,0.0,0.0,0.7,1,0.00,0.00,0.00,0.17,49,19670,494970,28095,8425,Goalkeeper,1,1,2,2.0
3440,32,252,7,1,2023-03-04T15:00:00Z,1,0,26,31,0,0,0,0,0,0,0,0,0,0,0,4,3.6,1.8,0.0,0.5,0,0.00,0.02,0.02,0.14,42,-83,17743,122,205,Defender,1,1,2,0.25
3441,33,252,7,1,2023-03-04T15:00:00Z,1,0,26,20,0,0,0,0,0,0,0,0,0,0,0,3,5.2,11.0,2.0,1.8,0,0.00,0.10,0.10,0.11,46,1600,151911,6205,4605,Defender,1,1,2,1.25
3444,37,252,7,3,2023-03-04T15:00:00Z,1,0,26,90,0,0,1,0,0,0,0,0,0,0,0,6,5.2,13.8,28.0,4.7,1,0.36,0.26,0.62,0.17,51,4029,58312,4830,801,Midfielder,1,1,2,3.75
3445,39,252,7,8,2023-03-04T15:00:00Z,1,0,26,90,0,0,1,0,0,0,0,0,0,0,2,26,13.6,0.6,0.0,1.4,1,0.00,0.00,0.00,0.17,43,32794,444228,51813,19019,Defender,1,1,2,1.75
3446,40,252,7,2,2023-03-04T15:00:00Z,1,0,26,84,0,0,1,0,0,0,0,0,0,0,0,3,1.0,0.6,4.0,0.6,1,0.66,0.01,0.67,0.07,73,341753,1001810,400101,58348,Forward,1,1,2,8.0
3447,42,252,7,3,2023-03-04T15:00:00Z,1,0,26,90,0,0,1,0,0,0,0,0,0,0,0,11,2.6,18.1,5.0,2.6,1,0.06,0.26,0.32,0.17,57,7203,66839,12617,5414,Midfielder,1,1,2,3.5
3448,43,252,7,12,2023-03-04T15:00:00Z,1,0,26,90,0,1,1,0,0,0,0,0,0,0,3,33,17.0,1.8,6.0,2.5,1,0.00,0.00,0.00,0.17,46,12035,396635,18764,6729,Defender,1,1,2,2.75
3449,44,252,7,7,2023-03-04T15:00:00Z,1,0,26,90,0,0,1,0,0,0,0,0,0,0,1,25,16.8,10.4,8.0,3.5,1,0.08,0.00,0.08,0.17,44,4225,44468,7128,2903,Defender,1,1,2,1.75
3450,46,252,7,2,2023-03-04T15:00:00Z,1,0,26,90,0,0,1,0,0,0,0,1,0,0,0,12,10.2,38.4,2.0,5.1,1,0.00,0.16,0.16,0.17,48,-892,50334,2065,2957,Midfielder,1,1,2,2.75
3451,47,252,7,3,2023-03-04T15:00:00Z,1,0,26,68,0,0,1,0,0,0,0,0,0,0,0,12,10.4,2.8,12.0,2.5,1,0.00,0.02,0.02,0.07,52,-100,69764,974,1074,Midfielder,1,1,2,1.75
3453,53,252,7,1,2023-03-04T15:00:00Z,1,0,26,58,0,0,0,0,0,0,0,0,0,0,0,5,3.2,4.3,0.0,0.8,1,0.00,0.13,0.13,0.03,48,-59,10579,109,168,Midfielder,1,1,2,2.25
3456,694,252,7,5,2023-03-04T15:00:00Z,1,0,26,69,0,0,1,0,0,0,0,1,0,0,0,12,0.2,13.0,8.0,2.1,1,0.00,0.19,0.19,0.07,44,-2122,16372,893,3015,Defender,1,1,2,1.75
3457,711,252,7,1,2023-03-04T15:00:00Z,1,0,26,5,0,0,0,0,0,0,0,0,0,0,0,2,0.0,1.1,1.0,0.0,0,0.02,0.00,0.02,0.11,55,-54,1849,475,529,Forward,1,1,2,0.75
3458,18,252,2,2,2023-03-04T15:00:00Z,1,0,26,80,0,0,0,1,0,0,0,0,0,0,0,18,20.0,11.9,0.0,3.2,1,0.00,0.01,0.01,1.09,43,-22,25015,254,276,Midfielder,0,0,2,1.75
3460,154,252,2,1,2023-03-04T15:00:00Z,1,0,26,9,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0.3,0.0,0.1,0,0.00,0.00,0.00,0.11,48,-1,606,18,19,Midfielder,0,0,2,0.0
3463,159,252,2,2,2023-03-04T15:00:00Z,1,0,26,74,0,0,0,1,0,0,0,0,0,0,0,6,6.0,1.4,2.0,0.9,1,0.00,0.00,0.00,1.09,53,-100,25113,499,599,Midfielder,0,0,2,2.0
3465,163,252,2,1,2023-03-04T15:00:00Z,1,0,26,15,0,0,0,0,0,0,0,0,0,0,0,5,3.8,15.0,0.0,1.9,0,0.00,0.10,0.10,0.11,48,-12,3054,19,31,Midfielder,0,0,2,0.5
3467,165,252,2,0,2023-03-04T15:00:00Z,1,0,26,90,0,0,0,1,1,0,0,0,0,0,0,4,1.0,0.8,4.0,0.6,1,0.11,0.01,0.12,1.20,45,186,170975,3364,3178,Defender,0,0,2,1.5
3469,167,252,2,2,2023-03-04T15:00:00Z,1,0,26,90,0,0,0,1,0,0,0,0,0,0,0,15,13.6,11.0,0.0,2.5,1,0.00,0.01,0.01,1.20,44,1046,118658,4591,3545,Defender,0,0,2,2.75
3470,168,252,2,1,2023-03-04T15:00:00Z,1,0,26,23,0,0,0,0,0,0,0,0,0,0,0,3,3.0,0.0,0.0,0.3,0,0.00,0.00,0.00,0.27,51,1356,41239,2649,1293,Forward,0,0,2,1.75
3471,169,252,2,1,2023-03-04T15:00:00Z,1,0,26,74,0,0,0,1,0,0,0,1,0,0,0,0,0.0,1.4,0.0,0.0,1,0.00,0.02,0.02,1.09,54,-4997,235277,7817,12814,Midfielder,0,0,2,3.0
3472,170,252,2,2,2023-03-04T15:00:00Z,1,0,26,90,0,0,0,1,0,0,0,0,0,0,0,9,28.6,1.2,0.0,3.0,1,0.00,0.00,0.00,1.20,44,4576,71596,6356,1780,Defender,0,0,2,3.25
3473,171,252,2,2,2023-03-04T15:00:00Z,1,0,26,66,0,0,0,1,0,0,0,0,0,0,0,8,6.8,4.5,0.0,1.1,1,0.00,0.01,0.01,0.93,54,5102,51446,10010,4908,Midfielder,0,0,2,3.75
3475,514,252,2,-1,2023-03-04T15:00:00Z,1,0,26,61,0,0,0,1,0,0,0,0,1,0,0,-6,0.0,1.0,0.0,0.0,1,0.00,0.01,0.01,1.47,50,49,12013,262,213,Midfielder,0,0,2,3.0
3479,725,252,2,0,2023-03-04T15:00:00Z,1,0,26,15,0,0,0,0,0,0,0,1,0,0,0,1,0.2,0.2,0.0,0.0,0,0.00,0.00,0.00,0.11,45,13,352,66,53,Midfielder,0,0,2,0.75
3481,31,270,19,3,2023-03-12T14:00:00Z,1,1,27,90,0,0,0,1,0,0,0,0,0,4,0,22,27.4,0.0,0.0,2.7,1,0.00,0.00,0.00,2.22,49,-4563,491778,9699,14262,Goalkeeper,0,0,2,3.75
3482,32,270,19,1,2023-03-12T14:00:00Z,1,1,27,5,0,0,0,0,0,0,0,0,0,0,0,2,0.4,0.5,0.0,0.1,0,0.00,0.00,0.00,0.00,42,-37,17755,161,198,Defender,0,0,2,0.5
3483,33,270,19,1,2023-03-12T14:00:00Z,1,1,27,26,0,0,0,0,0,0,0,0,0,0,0,3,3.4,1.5,0.0,0.5,0,0.00,0.00,0.00,0.32,46,-5174,146714,1147,6321,Defender,0,0,2,1.5
3484,34,270,19,1,2023-03-12T14:00:00Z,1,1,27,26,0,0,0,0,0,0,0,0,0,0,0,6,7.6,19.5,9.0,3.6,0,0.06,0.04,0.10,0.32,49,2,5778,42,40,Midfielder,0,0,2,0.0
3486,37,270,19,2,2023-03-12T14:00:00Z,1,1,27,90,0,0,0,1,0,0,0,0,0,0,0,15,12.4,4.6,5.0,2.2,1,0.02,0.03,0.05,2.22,51,-1269,57027,1063,2332,Midfielder,0,0,2,4.5
3487,39,270,19,2,2023-03-12T14:00:00Z,1,1,27,90,0,0,0,1,0,0,0,0,0,0,0,14,25.8,1.3,0.0,2.7,1,0.00,0.01,0.01,2.22,43,17108,461664,36338,19230,Defender,0,0,2,3.75
3488,40,270,19,8,2023-03-12T14:00:00Z,1,1,27,84,1,0,0,1,0,0,0,0,0,0,2,28,51.2,12.0,80.0,14.3,1,0.74,0.06,0.80,2.22,73,-38026,961872,133183,171209,Forward,0,0,2,5.75
